word,frequency
심즈,71
컨텐츠,41
느낌,39
수,39
생각,38
부분,36
그래픽,35
조이,34
플레이,33
기능,32
정도,31
더,30
사람,27
커마,26
내,24
캐릭터,24
점,24
거,24
상호작용,24
함,22
기대,21
최적화,20
앞,20
개발,20
지금,18
모드,18
업데이트,18
인조,18
유저,17
사양,17
안,17
집,16
말,16
한국,16
현실,16
발전,15
정말,15
매우,15
수준,14
건축,14
대화,14
게,14
그냥,13
인,13
장르,13
임,12
가능성,12
문제,12
시스템,12
인생,12
은,12
엑세스,12
시뮬레이터,11
추천,11
출시,11
가구,11
때문,11
이건,10
만,10
가격,10
기본,10
커스터,10
선택,10
추가,10
자체,10
못,10
비교,10
뭐,10
가장,10
시뮬레이션,10
행동,10
버그,10
시,9
마이,9
개선,9
돈,9
음식,9
생,9
몰입,9
보이,8
정식,8
징,8
액세스,8
스,8
설치,8
발생,8
옵션,8
눈,8
걸,8
장점,8
환불,8
친구,8
별로,8
이동,8
건,8
버전,8
단점,8
구매,7
도,7
거나,7
비,7
계속,7
얼,7
도시,7
퀄리티,7
굳이,7
조절,7
모든,7
감,7
꽤,7
보임,7
설정,7
그대로,6
평가,6
가지,6
살짝,6
통해,6
후,6
시도,6
성격,6
크게,6
요리,6
모션,6
시작,6
맵,6
단계,6
듯,6
존재,6
번,6
상태,6
지속,6
감안,6
외,6
시점,6
특정,6
프레임,6
뭘,6
해도,6
얼액,5
처음,5
뭔가,5
기간,5
개,5
가면,5
개인,5
이해,5
위,5
응원,5
개발자,5
좀더,5
직업,5
알,5
옷,5
실망,5
학교,5
적,5
사가,5
겜,5
뒤,5
자꾸,5
방,5
난,5
재미,5
카르마,5
얼엑,5
목표,5
이유,5
요소,5
컴퓨터,5
다시,5
화재,5
사이,4
리뷰,4
거리,4
한글,4
한번,4
하라,4
인테리어,4
날,4
걱정,4
링,4
해결,4
배경,4
실제,4
완성,4
얼굴,4
제발,4
는걸,4
크기,4
애,4
깊이,4
이벤트,4
사실,4
건물,4
현재,4
쪽,4
제대로,4
아쉬움,4
점점,4
스마트,4
맛,4
막,4
자유도,4
생활,4
리얼,4
이의,4
기준,4
오브젝트,4
꼭,4
기,4
수도,4
기초,4
프리,4
자식,4
밖,4
패치,4
카메라,4
창,4
속,4
분야,4
관계,4
설명,4
끝,3
오픈,3
이정,3
라이프,3
페이,3
셜,3
무궁무진,3
산책,3
역시,3
권장,3
초반,3
제작사,3
무척,3
답,3
마지막,3
로딩,3
전,3
텍스처,3
퀄,3
바닐라,3
거기,3
약속,3
월드,3
필요,3
고정,3
중년,3
보고,3
초기,3
아이돌,3
데뷔,3
포인트,3
패턴,3
제작,3
정,3
그동안,3
부지,3
계단,3
밥,3
얘기,3
디자인,3
뿐,3
초대,3
대체,3
배속,3
직장,3
부각,3
사진,3
활용,3
다운,3
직접,3
결론,3
구경,3
대해,3
감동,3
화면,3
이제,3
절대,3
후회,3
소통,3
최소한,3
배치,3
첫,3
구입,3
라면,3
움,3
만족감,3
뼈대,3
작품,3
진,3
욕구,3
반복,3
테이블,3
무조건,3
추후,3
일정,3
긍정,3
장소,3
나름,3
가끔,3
경우,3
애정,3
편이,3
중간,3
해,3
만들기,3
길이,3
무언가,3
조종,3
인물,3
랜덤,3
뮬,3
절실,3
연령,3
처럼,3
프리징,3
